date,temp,batt,battplugged
2022-10-07 00:05:59+03:00,1.6,99.0,1.0
2022-10-07 00:15:59+03:00,1.5,99.0,1.0
2022-10-07 00:25:59+03:00,1.5,99.0,1.0
2022-10-07 00:35:53+03:00,1.5,99.0,1.0
2022-10-07 00:45:53+03:00,1.6,99.0,1.0
2022-10-07 00:55:53+03:00,1.6,99.0,1.0
2022-10-07 01:05:53+03:00,1.6,99.0,1.0
2022-10-07 01:15:53+03:00,1.5,99.0,1.0
2022-10-07 01:25:53+03:00,1.5,99.0,1.0
2022-10-07 01:35:46+03:00,1.5,99.0,1.0
2022-10-07 01:45:46+03:00,1.6,99.0,1.0
2022-10-07 01:55:46+03:00,1.6,99.0,1.0
2022-10-07 02:05:46+03:00,1.5,99.0,1.0
2022-10-07 02:15:46+03:00,1.5,99.0,1.0
2022-10-07 02:25:46+03:00,1.5,99.0,1.0
2022-10-07 02:35:40+03:00,1.5,99.0,1.0
2022-10-07 02:45:40+03:00,1.5,99.0,1.0
2022-10-07 02:55:40+03:00,1.6,99.0,1.0
2022-10-07 03:05:40+03:00,1.6,99.0,1.0
2022-10-07 03:15:40+03:00,1.4,99.0,1.0
2022-10-07 03:25:40+03:00,1.4,99.0,1.0
2022-10-07 03:35:33+03:00,1.5,99.0,1.0
2022-10-07 03:45:33+03:00,1.5,99.0,1.0
2022-10-07 03:55:33+03:00,1.5,99.0,1.0
2022-10-07 04:05:33+03:00,1.6,99.0,1.0
2022-10-07 04:15:33+03:00,1.5,99.0,1.0
2022-10-07 04:25:33+03:00,1.4,99.0,1.0
2022-10-07 04:35:27+03:00,1.4,99.0,1.0
2022-10-07 04:45:27+03:00,1.4,99.0,1.0
2022-10-07 04:55:27+03:00,1.5,99.0,1.0
2022-10-07 05:05:27+03:00,1.5,99.0,1.0
2022-10-07 05:15:27+03:00,1.5,99.0,1.0
2022-10-07 05:25:27+03:00,1.4,99.0,1.0
2022-10-07 05:35:20+03:00,1.4,99.0,1.0
2022-10-07 05:45:20+03:00,1.4,99.0,1.0
2022-10-07 05:55:20+03:00,1.4,99.0,1.0
2022-10-07 06:05:20+03:00,1.5,99.0,1.0
2022-10-07 06:15:20+03:00,1.4,99.0,1.0
2022-10-07 06:25:20+03:00,1.4,99.0,1.0
2022-10-07 06:35:14+03:00,1.4,99.0,1.0
2022-10-07 06:45:14+03:00,1.4,99.0,1.0
2022-10-07 06:55:14+03:00,1.4,99.0,1.0
2022-10-07 07:05:14+03:00,1.5,99.0,1.0
2022-10-07 07:15:14+03:00,1.5,99.0,1.0
2022-10-07 07:25:14+03:00,1.5,99.0,1.0
2022-10-07 07:35:07+03:00,1.3,99.0,1.0
2022-10-07 07:45:07+03:00,1.4,99.0,1.0
2022-10-07 07:55:07+03:00,1.4,99.0,1.0
2022-10-07 08:05:07+03:00,1.4,99.0,1.0
2022-10-07 08:15:07+03:00,1.5,99.0,1.0
2022-10-07 08:25:07+03:00,1.5,99.0,1.0
2022-10-07 08:35:00+03:00,1.4,99.0,1.0
2022-10-07 08:45:00+03:00,1.3,99.0,0.0
2022-10-07 08:55:10+03:00,4.4,99.0,0.0
2022-10-07 09:05:00+03:00,4.4,99.0,1.0
2022-10-07 09:15:00+03:00,7.7,99.0,1.0
2022-10-07 09:25:00+03:00,5.1,99.0,1.0
2022-10-07 09:34:54+03:00,5.1,99.0,1.0
2022-10-07 09:44:54+03:00,3.5,99.0,1.0
2022-10-07 09:54:54+03:00,2.8,99.0,1.0
2022-10-07 10:04:54+03:00,2.4,99.0,1.0
2022-10-07 10:14:54+03:00,2.4,99.0,1.0
2022-10-07 10:24:54+03:00,2.2,99.0,1.0
